,prompt,completion
0,What did the bartender say to the jumper cables?, You better not try to start anything.
1,Don't you hate jokes about German sausage?, They're the wurst!
2,Tw,o artists had an art contest... It ended in a draw
3,Why did the chicken cross the playground?, To get to the other slide.
4,What gun do you use to hunt a moose?, A moosecut!
5,"If life gives you melons, you might have dyslexia.",
6,Broken pencils.,.. ...are pointless.
7,What did one snowman say to the other snowman?, 'Do you smell carrots?'
8,How many hipsters does it take to change a lightbulb?, It's a really obscure number. You've probably never heard of it.
9,Where do sick boats go?, The dock!
10,I like my slaves like I like my coffee:, Free.
11,"My girlfriend told me she was leaving me because I keep pretending to be a Transformer... I said, No, wait!", I can change!
12,Old Chinese proverb:, Man who not shower in 7 days makes one reek.
13,What did the owner of a brownie factory say when his factory caught fire?," ""I'm getting the fudge outta here!"""
14,What form of radiation bakes you cookies?, A gramma ray
15,"Bee jokes, courtesy of my niece (age 8). What did the bee use to dry off after swimming?", A *bee*ch towel. What did the bee use to get out the tangles? A honeycomb.
16,What's the loudest economic system?, CAPITALISM
17,"I went for a job interview today... The interviewer said to me, What would you say your greatest weakness is?"," I said, I think Id have to say my listening skills are my greatest strength."
18,Who was the knight that invented the round table?, Sir Cumference. (via friend who got this from a street performance group in the England area of Epcot)
19,What did the German air force eat for breakfast during WW2?, Luftwaffles
